trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",35,0,-188.48810289561598,"{0: 23, 1: 2, 2: 3, 3: 5, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-222.1009451846144,"{0: 17, 1: 0, 2: 6, 3: 5, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-221.3010473609105,"{0: 16, 1: 5, 2: 5, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-27.2530972438325,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-115.21120266203958,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-200.08849497389346,"{0: 18, 1: 0, 2: 8, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-159.0516826400824,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-6.774675884011434,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-168.47488774104175,"{0: 11, 1: 3, 2: 1, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-38.78752268209608,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-1.3343137088798889,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-69.2551354082763,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-26.89836451786339,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,13,-123.43962936109752,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-42.70040476343723,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-54.14814450084123,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-27.788458943564294,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,15,-12.542989739351373,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-34.608679835522096,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,9,-31.54567850585809,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,0,-74.90734352079423,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,12,-25.475101767533598,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",25,20,7.850736634939292,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,10,23.494212344191283,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,14.47049367194672,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-33.40641079658956,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-16.640518086639716,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",35,6,39.019874182012735,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,-44.035360570691374,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,13,20.133706652581658,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
