trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 1.0}",35,0,-246.62014523143299,"{0: 22, 1: 1, 2: 5, 3: 3, 4: 4}",0
2,False,"{'a': 0.7, 'e': 0.7071067811865475}",30,0,-200.6555228632364,"{0: 17, 1: 1, 2: 8, 3: 1, 4: 3}",0
3,False,"{'a': 0.7, 'e': 0.5773502691896258}",30,0,-159.45906060193005,"{0: 19, 1: 5, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.7, 'e': 0.5}",20,0,-42.438571985295276,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.7, 'e': 0.4472135954999579}",20,0,-40.375241341566344,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
6,False,"{'a': 0.7, 'e': 0.4082482904638631}",30,0,-150.0472637663608,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 3}",0
7,False,"{'a': 0.7, 'e': 0.3779644730092272}",20,0,-132.1893183221455,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
8,False,"{'a': 0.7, 'e': 0.35355339059327373}",20,0,-81.42965623491185,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.7, 'e': 0.3333333333333333}",20,0,-25.175205695089062,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.7, 'e': 0.31622776601683794}",20,0,-43.26231727382323,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.7, 'e': 0.30151134457776363}",20,15,0.00730693746519262,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.7, 'e': 0.2886751345948129}",20,0,-49.90060672118837,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.7, 'e': 0.2773500981126146}",35,0,-93.12861912872516,"{0: 28, 1: 3, 2: 1, 3: 1, 4: 2}",0
14,False,"{'a': 0.7, 'e': 0.2672612419124244}",20,1,19.111183562515308,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.7, 'e': 0.2581988897471611}",25,0,-135.74449452521006,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
16,False,"{'a': 0.7, 'e': 0.25}",20,0,-68.05972418438988,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.7, 'e': 0.24253562503633297}",20,1,-64.43410251939895,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
18,False,"{'a': 0.7, 'e': 0.23570226039551587}",20,0,3.9243391217669226,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.7, 'e': 0.22941573387056174}",30,0,-40.68875037798111,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.7, 'e': 0.22360679774997896}",20,11,4.332638180970145,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.7, 'e': 0.2182178902359924}",20,0,-1.4450833879087686,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
22,False,"{'a': 0.7, 'e': 0.21320071635561041}",30,0,-75.10874165724123,"{0: 25, 1: 0, 2: 2, 3: 2, 4: 1}",0
