trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,15,-10.59761227331126,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-148.3643656966031,"{0: 14, 1: 5, 2: 10, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-184.79939214253534,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.99127090674143,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.20738138316563,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-190.25543103699252,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,10,-35.936032853167305,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.4606854440638,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,3,-125.41870354123792,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.50325495947507,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.45791246908814,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,3,-96.26280613406871,"{0: 8, 1: 2, 2: 6, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.05178992532124,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-68.02500299191637,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-157.1114989089407,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.3810651407509,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-213.86528521636876,"{0: 17, 1: 3, 2: 5, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.522755985347416,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-204.70757240645267,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,11,-61.90931734529954,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.70836660188567,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-115.57349535854648,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-170.8013120253724,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,0,-140.56827106752948,"{0: 21, 1: 4, 2: 8, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-254.1418550627239,"{0: 15, 1: 3, 2: 6, 3: 2, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-101.03882474418728,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-97.09871543109907,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-120.33202410066009,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-143.10684874027604,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-67.41692186680108,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
